"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.028776125E0,4.273143006E-1,7.965427995E-1,4.779992961E0
3.038709125E0,6.041450655E-1,2.850143409E-1,4.408819313E0
3.048643125E0,8.966636498E-1,1.282996058E-2,3.595229541E0
3.058576125E0,1.081613858E0,9.147501111E-2,2.697291344E0
3.068509125E0,1.258700439E0,2.929893583E-1,1.806960375E0
3.078442125E0,1.517188740E0,3.819237542E-1,1.024248580E0
3.088375125E0,1.747035332E0,3.316078788E-1,4.278641582E-1
3.098309125E0,1.893468469E0,1.377346730E-1,5.879141450E-2
3.108242125E0,1.896711920E0,-2.189706248E-1,-8.866600871E-2
3.118175125E0,1.669834544E0,-5.223791367E-1,-1.442414546E-1
3.128108125E0,1.330522520E0,-7.562847197E-1,-2.064096361E-1
3.138041125E0,1.012702375E0,-9.782888800E-1,-3.237369418E-1
3.147975125E0,7.519053014E-1,-1.141678796E0,-4.719550878E-1
3.157908125E0,5.062783898E-1,-1.250198441E0,-6.105767834E-1
3.167841125E0,3.345511844E-1,-1.359659488E0,-7.479869360E-1
3.177774125E0,1.827413863E-1,-1.458326574E0,-9.098209083E-1
3.187707125E0,1.037935596E-1,-1.480286962E0,-1.020087701E0
3.197641125E0,5.789106206E-2,-1.462637141E0,-1.196586490E0
3.207574125E0,4.213513192E-2,-1.495176312E0,-1.415667043E0
3.217507125E0,-1.875747952E-2,-1.589716433E0,-1.628651873E0
3.227440125E0,-1.804198041E-1,-1.569371046E0,-1.820403709E0
3.237374125E0,-3.836447725E-1,-1.522096308E0,-1.871190870E0
3.247307125E0,-4.755301120E-1,-1.492028171E0,-1.909670811E0
3.257240125E0,-4.406107959E-1,-1.488188304E0,-1.991186845E0
3.267173125E0,-3.593306977E-1,-1.357705933E0,-2.125838281E0
3.277106125E0,-2.245477356E-1,-1.111781398E0,-2.243017067E0
3.287040125E0,-7.225608121E-2,-8.983159268E-1,-2.203331430E0
3.296973125E0,2.758707665E-2,-6.905713713E-1,-2.036976975E0
3.306906125E0,1.272528903E-1,-5.492523551E-1,-1.777999701E0
3.316839125E0,1.617570632E-1,-4.986037731E-1,-1.468525288E0
3.326772125E0,1.914904471E-1,-5.350015211E-1,-1.211543083E0
3.336706125E0,1.013244632E-1,-5.080973125E-1,-1.047323447E0
3.346639125E0,-1.287009532E-1,-3.677992201E-1,-9.683608925E-1
3.356572125E0,-3.167251435E-1,-2.309597558E-1,-8.863139319E-1
3.366505125E0,-4.770658466E-1,-1.204450411E-1,-7.694239980E-1
3.376439125E0,-5.211631716E-1,-4.171345174E-2,-5.852103925E-1
3.386372125E0,-3.612005276E-1,8.351461172E-2,-3.334000504E-1
3.396305125E0,-1.984924331E-1,2.230075425E-1,-1.067748356E-1
3.406238125E0,-1.587698852E-1,4.170760453E-1,-6.244007707E-2
3.416171125E0,-1.641793088E-1,5.997617733E-1,-9.842384219E-2
3.426105125E0,-2.335927935E-1,7.860815459E-1,-9.401679575E-2
3.436038125E0,-2.917853983E-1,9.265801978E-1,-4.400731444E-2
3.445971125E0,-3.725684650E-1,1.108682374E0,4.715545535E-2
3.455904125E0,-5.631416850E-1,1.238414547E0,-3.054585457E-3
3.465837125E0,-8.213740240E-1,1.278052238E0,-1.101744068E-1
3.475771125E0,-1.119158318E0,1.444582694E0,3.193047523E-2
3.485704125E0,-1.301601606E0,1.863079028E0,6.577246374E-1
3.495637125E0,-1.096557514E0,2.328694564E0,1.835339836E0
3.505570125E0,-6.048571467E-1,2.436466350E0,3.162323329E0
3.515503125E0,-1.693138585E-1,2.305711498E0,4.295587982E0
3.525437125E0,1.231206447E-1,2.112318349E0,5.052241661E0
3.535370125E0,2.969213916E-1,1.753132662E0,5.239847236E0
3.545303125E0,3.270690507E-1,1.234120937E0,4.791086299E0
3.555236125E0,1.113752239E-1,7.328508335E-1,3.667275424E0
3.565170125E0,-3.915750222E-1,5.126224726E-1,2.275743349E0
3.575103125E0,-8.113847870E-1,5.811717206E-1,9.576967406E-1
3.585036125E0,-1.032647813E0,5.306897843E-1,-4.705780685E-2
3.594969125E0,-1.281995308E0,4.574382055E-1,-7.707624257E-1
3.604902125E0,-1.551262950E0,5.421906728E-1,-1.179904384E0
3.614836125E0,-1.662197349E0,6.346784216E-1,-1.165658813E0
3.624769125E0,-1.558429444E0,6.474183351E-1,-8.221378165E-1
3.634702125E0,-1.196084653E0,5.414574319E-1,-1.882645565E-1
3.644635125E0,-7.817326793E-1,2.251885539E-1,5.790585369E-1
3.654567625E0,-4.761346410E-1,-5.965095520E-2,1.093149830E0
3.664501625E0,-3.189608264E-1,-2.443299991E-1,1.367535102E0
3.674434625E0,-1.527199995E-1,-3.302682817E-1,1.420371128E0
3.684367625E0,3.869981507E-2,-4.973583162E-1,1.225179960E0
3.694300625E0,1.104413687E-1,-5.765015495E-1,8.177044576E-1
3.704234625E0,2.354630072E-1,-6.365448529E-1,4.551104289E-1
3.714167625E0,3.508384209E-1,-8.253578782E-1,1.963600266E-1
3.724100625E0,4.917262781E-1,-1.078232998E0,7.470753551E-2
3.734033625E0,4.711479528E-1,-1.407437671E0,-1.027572137E-1
3.743966625E0,3.618408708E-1,-1.726950000E0,-5.030599362E-1
3.753900625E0,2.084789292E-1,-1.986996730E0,-9.257405376E-1
3.763833625E0,-2.858091602E-3,-2.200853965E0,-1.302594756E0
3.773766625E0,-1.505467996E-1,-2.373902897E0,-1.678716903E0
3.783699625E0,-2.062005068E-1,-2.480777720E0,-1.970577748E0
3.793632625E0,-1.875480899E-1,-2.521626368E0,-2.206899401E0
3.803566625E0,-2.119361686E-1,-2.426206241E0,-2.453813285E0
3.813499625E0,-1.957700425E-1,-2.233774958E0,-2.559721563E0
3.823432625E0,-1.834634443E-1,-2.096157814E0,-2.383578869E0
3.833365625E0,-2.744153489E-1,-1.931766270E0,-2.036123282E0
